Date,Incoming,Outgoing,Message
01-12-21,31,19,8
02-12-21,25,21,8
03-12-21,27,24,7
04-12-21,19,24,8
05-12-21,21,23,10
06-12-21,23,19,9
07-12-21,24,18,9
08-12-21,24,19,10
09-12-21,19,20,11
10-12-21,35,23,11
11-12-21,33,15,9
12-12-21,23,21,12
13-12-21,21,33,8
14-12-21,29,28,9
15-12-21,28,28,7
16-12-21,28,27,6
17-12-21,36,15,9
18-12-21,34,19,7
19-12-21,31,19,6
20-12-21,33,19,6
21-12-21,27,23,8
