Date,Incoming,Outgoing,Message
2021-12-01,6,4,5
2021-12-02,55,182,6
2021-12-03,77,89,4
2021-12-04,23,8,6
2021-12-05,12,6,5
2021-12-06,9,3,4
2021-12-07,8,6,6
2021-12-08,8,4,5
2021-12-09,3,2,5
2021-12-10,5,9,5
2021-12-11,0,2,6
2021-12-12,21,6,4
2021-12-13,4,2,6
2021-12-14,3,4,9
2021-12-15,2,4,7
2021-12-16,2,1,6
2021-12-17,9,9,5
2021-12-18,2,4,4
2021-12-19,4,4,6
2021-12-20,6,2,5
2021-12-21,7,3,4
