Date ,Incoming,Outgoing,SMS
2021-12-03,1,0,7
2021-12-04,0,0,8
2021-12-05,0,0,5
2021-12-06,1,0,6
2021-12-07,2,0,8
2021-12-08,2,2,4
2021-12-09,0,0,8
2021-12-10,1,0,9
2021-12-11,0,0,4
2021-12-12,0,0,6
2021-12-13,2,1,4
2021-12-14,0,1,9
2021-12-15,2,0,6
2021-12-16,3,0,8
2021-12-17,2,2,6
2021-12-18,1,1,7
2021-12-19,0,5,2
2021-12-20,2,1,7
2021-12-21,2,0,8
