date,incoming,outgoing,message
12/1/2021,2,5,3
12/2/2021,30,150,5
12/3/2021,45,110,7
12/4/2021,20,8,8
12/5/2021,1,5,5
12/6/2021,0,2,2
12/7/2021,5,2,5
12/8/2021,2,4,4
12/9/2021,2,3,7
12/10/2021,4,4,6
12/11/2021,5,2,8
12/12/2021,3,5,6
12/13/2021,5,4,3
12/14/2021,6,2,5
12/15/2021,8,5,7
12/16/2021,9,3,6
12/17/2021,4,1,4
12/18/2021,2,2,0
12/19/2021,3,4,0
12/20/2021,4,5,0
12/21/2021,2,5,0
