Date ,Incoming,Outgoing,SMS
2021-12-03,4,2,3
2021-12-04,3,2,4
2021-12-05,5,3,3
2021-12-06,4,5,2
2021-12-07,5,7,1
2021-12-08,11,6,3
2021-12-09,7,4,2
2021-12-10,6,4,1
2021-12-11,8,4,3
2021-12-12,10,8,2
2021-12-13,5,3,5
2021-12-14,12,4,5
2021-12-15,8,5,6
2021-12-16,17,13,7
2021-12-17,5,3,1
2021-12-18,4,4,2
2021-12-19,6,5,3
2021-12-20,9,4,3
2021-12-21,8,3,4
2021-12-22,5,3,3
