Date ,Incoming Call,Outgoing Call,Incoming Message
2021-12-01,6,4,17
2021-12-02,2,1,12
2021-12-03,1,3,21
2021-12-04,3,1,9
2021-12-05,1,2,12
2021-12-06,14,8,14
2021-12-07,3,0,15
2021-12-08,10,4,11
2021-12-09,0,2,5
2021-12-10,2,7,18
2021-12-11,1,0,20
2021-12-12,2,1,14
2021-12-13,2,5,11
2021-12-14,1,0,9
2021-12-15,1,0,15
2021-12-16,1,0,14
2021-12-17,3,0,18
2021-12-18,8,3,11
2021-12-19,1,0,10
