date,incoming,outgoing,message
2021-12-01,7,5,4
2021-12-02,9,13,5
2021-12-03,4,3,7
2021-12-04,6,7,8
2021-12-05,31,167,5
2021-12-06,78,2,3
2021-12-07,23,2,5
2021-12-08,4,9,3
2021-12-09,8,8,2
2021-12-10,9,1,5
2021-12-11,2,8,8
2021-12-12,4,3,4
2021-12-13,7,8,6
2021-12-14,11,6,5
2021-12-15,10,11,7
2021-12-16,13,9,6
2021-12-17,2,0,4
2021-12-18,9,3,2
2021-12-19,11,8,3
2021-12-20,10,4,2
2021-12-21,15,6,5
