Date,Incoming Calls,Outgoing Calls,Incoming Messages
12/1/2021,0,0,0
12/2/2021,3,4,5
12/3/2021,6,7,4
12/4/2021,2,3,3
12/5/2021,1,2,5
12/6/2021,7,5,4
12/7/2021,4,4,7
12/8/2021,3,7,6
12/9/2021,4,3,7
12/10/2021,5,7,9
12/11/2021,8,6,7
12/12/2021,2,2,3
12/13/2021,8,4,1
12/14/2021,9,3,5
12/15/2021,4,5,2
12/16/2021,2,2,7
12/17/2021,4,1,3
12/18/2021,8,0,1
12/19/2021,8,2,8
12/20/2021,4,7,9
