Date,Incoming,Outgoing,SMS
2021-12-01,25,23,2
2021-12-02,22,5,12
2021-12-03,11,12,4
2021-12-04,13,7,2
2021-12-05,17,24,3
2021-12-06,21,6,12
2021-12-07,8,21,11
2021-12-08,9,14,4
2021-12-09,13,18,8
2021-12-10,8,11,4
2021-12-11,21,13,7
2021-12-12,13,25,3
2021-12-13,17,22,8
2021-12-14,23,8,12
2021-12-15,7,18,8
2021-12-16,14,18,12
2021-12-17,10,12,13
2021-12-18,23,18,8
2021-12-19,17,7,10
2021-12-20,16,10,11
