Date,Incoming Calls,Outgoing Calls,Incoming Messages
2021-12-01,4,5,3
2021-12-02,4,4,6
2021-12-03,5,3,4
2021-12-04,3,7,7
2021-12-05,0,3,4
2021-12-06,7,3,2
2021-12-07,2,3,7
2021-12-08,6,7,2
2021-12-09,7,4,7
2021-12-10,3,6,6
2021-12-11,4,5,7
2021-12-12,4,2,3
2021-12-13,9,7,1
2021-12-14,4,3,4
2021-12-15,4,8,2
2021-12-16,2,7,6
2021-12-17,4,1,3
2021-12-18,1,5,5
2021-12-19,8,2,10
2021-12-20,8,9,8
